ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001437749-24-026093	1666935	Common Stock Purchase Warrants		3.05					F2		F2	Common Stock		2885246.0								D	F3		
0001592386-24-000088	1666885	Non-voting common interest units of Virtu Financial LLC			F3				F3		F3	Class A common stock		4760.0								I			
0001592386-24-000088	1666884	Restricted Stock Unit			F2				F1		F1	Class A common stock		23043.0								D		See footnote	F4
0001437749-24-026082	1666925	Stock Option (Right to Buy)		32.46					F1	27-JAN-2031		Common Stock		300.0				300.0				D			
0001437749-24-026082	1666926	Stock Option (Right to Buy)		40.13					F3	27-JAN-2033		Common Stock		320.0				320.0				D			
0001437749-24-026082	1666927	Stock Option (Right to Buy)		39.89					F4	26-JAN-2034		Common Stock		265.0				265.0				D			
0001437749-24-026082	1666921	Stock Option (Right to Buy)		18.36					F1	28-JAN-2025		Common Stock		862.0				862.0				D			
0001437749-24-026082	1666922	Stock Option (Right to Buy)		33.5					F1	25-JAN-2029		Common Stock		250.0				250.0				D			
0001437749-24-026082	1666923	Stock Option (Right to Buy)		36.26					F1	31-JAN-2030		Common Stock		120.0				120.0				D			
0001437749-24-026082	1666924	Stock Option (Right to Buy)		42.85					F2	28-JAN-2032		Common Stock		320.0				320.0				D			
0002033075-24-000002	1666968	Restricted Stock Units	F2	0.0				28-FEB-2025			F3	Common Stock, par value $0.01 per share		32.2								D			
0001830210-24-000124	1666953	Restricted Stock Units			F2				F1	15-APR-2034		Common Stock, $0.0001 par value per share		350000.0								D			
0001415889-24-021087	1666987	Restricted Units		0.0					F2		F2	Registered Shares		30136.0								D			
0001415889-24-021087	1666990	Restricted Units		0.0					F5		F5	Registered Shares		8703.0								D			
0001415889-24-021087	1666988	Restricted Units		0.0					F3		F3	Registered Shares		30268.0								D			
0001415889-24-021087	1666989	Restricted Units		0.0					F4		F4	Registered Shares		57629.0								D			
0001415889-24-021087	1666986	Stock Options		0.0					F1	07-FEB-2029		Registered Shares		27778.0								D			
0000826154-24-000195	1666954	Stock Option (right to buy)		21.23				01-JUL-2024		15-NOV-2026		Orrstown Financial Services, Inc, Common Stock		3134.0				3134.0				D			
0000826154-24-000195	1666957	Stock Option (right to buy)		29.92				01-JUL-2024		13-DEC-2027		Orrstown Financial Services, Inc, Common Stock		1998.0				1998.0				D			
0000826154-24-000195	1666956	Stock Option (right to buy)		19.64				01-JUL-2024		17-NOV-2025		Orrstown Financial Services, Inc, Common Stock		5596.0				5596.0				D			
0000826154-24-000195	1666955	Stock Option (right to buy)		25.99				01-JUL-2024		11-DEC-2028		Orrstown Financial Services, Inc, Common Stock		2309.0				2309.0				D			
0001437749-24-026062	1666895	Stock Option		9.36					F1	15-JUN-2033		Common Stock		23000.0				23000.0				D			
0000796343-24-000194	1666962	Restricted Stock Units		0.0					F1		F1	Common Stock		61.0								D			
0000796343-24-000194	1666963	Restricted Stock Units		0.0					F2		F2	Common Stock		970.0								D			
0000796343-24-000194	1666967	Restricted Stock Units		0.0					F6		F6	Common Stock		482.0								D			
0000796343-24-000194	1666965	Restricted Stock Units		0.0					F4		F4	Common Stock		1867.0								D			
0000796343-24-000194	1666966	Restricted Stock Units		0.0					F5		F5	Common Stock		598.0								D			
0000796343-24-000194	1666964	Restricted Stock Units		0.0					F3		F3	Common Stock		182.0								D			
0001127602-24-022005	1666821	Restricted Stock Unit			F1				F2		F2	Common Stock		14439.0				14439.0				D			
0001127602-24-022005	1666823	Restricted Stock Unit			F1				F4		F4	Common Stock		18884.0				18884.0				D			
0001127602-24-022005	1666822	Restricted Stock Unit			F1				F3		F3	Common Stock		22498.0				22498.0				D			
0001127602-24-022004	1666928	Performance Share Unit			F3				F4		F4	Common Stock		47567.0				47567.0				D			
0001127602-24-022004	1666929	Performance Share Unit			F3				F5		F5	Common Stock		26393.0				26393.0				D			
0001127602-24-022004	1666930	Restricted Stock Unit			F6				F7		F7	Common Stock		100463.0				100463.0				D			
0001127602-24-022004	1666931	Restricted Stock Unit			F6				F8		F8	Common Stock		116162.0				116162.0				D			
0001127602-24-022004	1666932	Restricted Stock Unit			F6				F9		F9	Common Stock		104474.0				104474.0				D			
0001127602-24-022002	1666789	Restricted Stock Unit			F1				F2		F2	Common Stock		14439.0				14439.0				D			
0001127602-24-022002	1666790	Restricted Stock Unit			F1				F3		F3	Common Stock		16070.0				16070.0				D			
0001127602-24-022002	1666791	Restricted Stock Unit			F1				F4		F4	Common Stock		15021.0				15021.0				D			
0001127602-24-022001	1666775	Performance Share Unit			F1				F2		F2	Common Stock		14287.0				14287.0				D			
0001127602-24-022001	1666776	Performance Share Unit			F1				F3		F3	Common Stock		7928.0				7928.0				D			
